timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 19:58:02.502, 143.04 W, 89, 1642 MHz, 7301 MHz
2026/04/28 19:58:03.502, 131.99 W, 84, 1560 MHz, 7301 MHz
2026/04/28 19:58:04.502, 138.08 W, 90, 1507 MHz, 7301 MHz
2026/04/28 19:58:05.502, 144.69 W, 90, 1770 MHz, 7301 MHz
2026/04/28 19:58:06.502, 142.31 W, 87, 1740 MHz, 7301 MHz
2026/04/28 19:58:07.502, 145.11 W, 87, 1657 MHz, 7301 MHz
2026/04/28 19:58:08.502, 141.17 W, 86, 1560 MHz, 7301 MHz
2026/04/28 19:58:09.503, 145.09 W, 87, 1545 MHz, 7301 MHz
2026/04/28 19:58:10.503, 143.14 W, 87, 1710 MHz, 7301 MHz
2026/04/28 19:58:11.503, 142.48 W, 88, 1740 MHz, 7301 MHz
2026/04/28 19:58:12.522, 138.50 W, 87, 1575 MHz, 7301 MHz
2026/04/28 19:58:13.522, 139.08 W, 89, 1642 MHz, 7301 MHz
2026/04/28 19:58:14.523, 140.82 W, 87, 1702 MHz, 7301 MHz
2026/04/28 19:58:15.523, 143.12 W, 87, 1710 MHz, 7301 MHz
2026/04/28 19:58:16.523, 142.62 W, 89, 1710 MHz, 7301 MHz
2026/04/28 19:58:17.523, 138.64 W, 86, 1747 MHz, 7301 MHz
2026/04/28 19:58:18.523, 138.80 W, 83, 1747 MHz, 7301 MHz
2026/04/28 19:58:19.523, 144.94 W, 89, 1477 MHz, 7301 MHz
2026/04/28 19:58:20.523, 142.50 W, 89, 1477 MHz, 7301 MHz
2026/04/28 19:58:21.523, 141.88 W, 88, 1657 MHz, 7301 MHz
2026/04/28 19:58:22.523, 140.47 W, 87, 1762 MHz, 7301 MHz
2026/04/28 19:58:23.524, 140.59 W, 87, 1777 MHz, 7301 MHz
2026/04/28 19:58:24.524, 138.84 W, 84, 1777 MHz, 7301 MHz
2026/04/28 19:58:25.524, 144.47 W, 87, 1582 MHz, 7301 MHz
2026/04/28 19:58:26.524, 144.51 W, 89, 1635 MHz, 7301 MHz
2026/04/28 19:58:27.525, 143.22 W, 90, 1567 MHz, 7301 MHz
2026/04/28 19:58:28.525, 137.71 W, 87, 1755 MHz, 7301 MHz
2026/04/28 19:58:29.545, 142.33 W, 86, 1755 MHz, 7301 MHz
2026/04/28 19:58:30.545, 142.56 W, 87, 1702 MHz, 7301 MHz
2026/04/28 19:58:31.545, 144.37 W, 87, 1695 MHz, 7301 MHz
2026/04/28 19:58:32.545, 141.76 W, 89, 1725 MHz, 7301 MHz
2026/04/28 19:58:33.545, 138.70 W, 90, 1672 MHz, 7301 MHz
2026/04/28 19:58:34.545, 142.22 W, 89, 1777 MHz, 7301 MHz
2026/04/28 19:58:35.545, 142.05 W, 87, 1702 MHz, 7301 MHz
2026/04/28 19:58:36.545, 143.46 W, 88, 1635 MHz, 7301 MHz
2026/04/28 19:58:37.545, 143.08 W, 87, 1657 MHz, 7301 MHz
