timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 20:38:19.688, 99.38 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:20.688, 98.09 W, 72, 1440 MHz, 7301 MHz
2026/04/28 20:38:21.688, 96.43 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:22.689, 97.47 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:23.689, 98.11 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:24.689, 98.74 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:38:25.689, 99.21 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:26.689, 99.75 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:27.689, 98.72 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:28.689, 98.04 W, 72, 1462 MHz, 7301 MHz
2026/04/28 20:38:29.689, 99.01 W, 72, 1500 MHz, 7301 MHz
2026/04/28 20:38:30.689, 96.94 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:31.690, 96.92 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:32.690, 95.83 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:33.690, 98.54 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:38:34.690, 99.89 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:38:35.690, 99.32 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:36.690, 96.95 W, 74, 1485 MHz, 7301 MHz
2026/04/28 20:38:37.690, 97.94 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:38.690, 99.41 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:39.690, 99.66 W, 72, 1537 MHz, 7301 MHz
2026/04/28 20:38:40.691, 100.47 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:38:41.691, 98.38 W, 74, 1477 MHz, 7301 MHz
2026/04/28 20:38:42.691, 97.50 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:43.691, 99.32 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:44.691, 100.56 W, 72, 1455 MHz, 7301 MHz
2026/04/28 20:38:45.691, 100.55 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:38:46.691, 99.18 W, 74, 1342 MHz, 7301 MHz
2026/04/28 20:38:47.691, 96.19 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:38:48.691, 99.66 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:49.692, 100.11 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:50.692, 99.65 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:38:51.692, 96.84 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:52.692, 98.61 W, 72, 1425 MHz, 7301 MHz
2026/04/28 20:38:53.692, 99.03 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:54.692, 100.05 W, 72, 1395 MHz, 7301 MHz
2026/04/28 20:38:55.692, 97.39 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:56.692, 97.26 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:38:57.692, 99.69 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:58.693, 101.01 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:38:59.693, 99.46 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:00.693, 98.53 W, 74, 1537 MHz, 7301 MHz
2026/04/28 20:39:01.693, 98.31 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:02.693, 100.28 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:03.693, 99.84 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:04.693, 98.04 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:05.693, 97.76 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:06.693, 100.14 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:07.694, 100.97 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:08.694, 98.49 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:09.694, 97.02 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:10.694, 101.21 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:11.694, 101.32 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:12.694, 97.35 W, 74, 1552 MHz, 7301 MHz
